"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition"
"Basal epithelial","Tregs","MIF","CD74_CXCR4",9.21781014205357e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"CD8 T cells (CTL)","Tregs","MIF","CD74_CXCR4",0.000511091193112111,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Endothelial cells","Tregs","MIF","CD74_CXCR4",0.000244687055565,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Epithelial cells","Tregs","MIF","CD74_CXCR4",0.000203253560164298,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Fibroblasts","Tregs","MIF","CD74_CXCR4",0.000129865946247538,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"NK cells","Tregs","MIF","CD74_CXCR4",8.95528933238157e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"PDC/Plasma cells","Tregs","MIF","CD74_CXCR4",3.18688106757936e-05,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Pericytes","Tregs","MIF","CD74_CXCR4",0.00031528942904964,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"TNK cells","Tregs","MIF","CD74_CXCR4",0.000147337298496706,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"Tregs","Tregs","MIF","CD74_CXCR4",0.000176318172140226,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155","tumor_HG"
"B cells","B cells","MIF","CD74_CD44",7.28874927269455e-05,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","tumor_HG"
"Basal epithelial","B cells","MIF","CD74_CD44",5.37078530962271e-05,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","tumor_HG"
"CD4 T cells (Th)","B cells","MIF","CD74_CD44",0.00029896878326936,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090","tumor_HG"
