"pathway","cell_type","outdegree","indegree","flowbet","info"
"LAMININ","CD4 T cells (Th)",0,4.25112775857921e-05,0,0
"LAMININ","CD8 T cells (CTL)",0,1.58286554112775e-05,0,0
"LAMININ","Endothelial cells",0,4.65219688311698e-06,0,0
"LAMININ","Epithelial cells",0,0,0,0
"LAMININ","Fibroblasts",0,7.90608564484579e-07,0,0
"LAMININ","Mast cells",0,1.31405768074761e-05,0,0
"LAMININ","Monocytes",0,5.61080772257856e-06,0,0
"LAMININ","Myeloid (Mac/DC)",0,2.91776477078772e-06,0,0
"LAMININ","NK cells",0,2.73220925415643e-06,0,0
"LAMININ","PDC/Plasma cells",0,2.623443377089e-07,0,0
"LAMININ","Pericytes",0,6.1476703922867e-06,0,0
"LAMININ","TNK cells",0,1.3002248196514e-05,0,0
"LAMININ","Tregs",0,1.52135821756363e-05,0,0
"THBS","B cells",0,1.43647175108981e-05,0,0.116327987454853
"THBS","Basal epithelial",0,9.44903711704325e-06,0,0.0868682387090689
"THBS","CD4 T cells (Th)",0,4.59759514486959e-05,0,0.213070738851658
"THBS","CD8 T cells (CTL)",0,0,0,0
"THBS","Endothelial cells",0,0,0,0
"THBS","Epithelial cells",0,1.45432699129402e-05,0,0.117271771674429
"THBS","Fibroblasts",3.37048854934184e-05,3.02354799675805e-06,1.04870145951192e-05,0.19753221332549
"THBS","Mast cells",0,0,0,0
"THBS","Monocytes",6.89047584339483e-05,4.16525431643811e-06,7.52124815764019e-06,0.268929049984502
"THBS","Myeloid (Mac/DC)",0,0,0,0
"THBS","NK cells",0,1.00732844924528e-05,0,0
"THBS","PDC/Plasma cells",0,1.01458113214036e-06,0,0
"THBS","Pericytes",0,0,0,0
"THBS","TNK cells",0,0,0,0
"THBS","Tregs",0,0,0,0
"VEGF","B cells",0,0,0,0
"VEGF","Basal epithelial",0,0,0,0
"VEGF","CD4 T cells (Th)",0,0,0,0
"VEGF","CD8 T cells (CTL)",0,0,0,0
"VEGF","Endothelial cells",0,8.04549331101724e-05,0,0.386535393667396
"VEGF","Epithelial cells",0,0,0,0
"VEGF","Fibroblasts",1.61160537063842e-05,0,0,0.13756141136261
"VEGF","Mast cells",3.2316423138983e-05,0,0,0.20316223969752
"VEGF","Monocytes",1.37742746797797e-05,0,0,0.123984266581208
"VEGF","Myeloid (Mac/DC)",0,0,0,0
"VEGF","NK cells",0,0,0,0
"VEGF","PDC/Plasma cells",0,0,0,0
"VEGF","Pericytes",1.82481815850256e-05,0,0,0.148756688691266
"VEGF","TNK cells",0,0,0,0
"VEGF","Tregs",0,0,0,0
"ApoE","B cells",0,0,0,0
"ApoE","Basal epithelial",0,0,0,0
"ApoE","CD4 T cells (Th)",0,0,0,0
"ApoE","CD8 T cells (CTL)",0,0,0,0
"ApoE","Endothelial cells",0,0,0,0
"ApoE","Epithelial cells",0,0,0,0
"ApoE","Fibroblasts",0,0,0,0
"ApoE","Mast cells",0,0,0,0
"ApoE","Monocytes",0,0,0,0
"ApoE","Myeloid (Mac/DC)",0,6.66123234092699e-05,0,0.5
"ApoE","NK cells",0,0,0,0
"ApoE","PDC/Plasma cells",0,0,0,0
"ApoE","Pericytes",6.66123234092699e-05,0,0,0.5
"ApoE","TNK cells",0,0,0,0
"ApoE","Tregs",0,0,0,0
"CD40","B cells",0,6.21991442239946e-05,0,0.5
"CD40","Basal epithelial",0,0,0,0
"CD40","CD4 T cells (Th)",6.21991442239946e-05,0,0,0.5
"CD40","CD8 T cells (CTL)",0,0,0,0
"CD40","Endothelial cells",0,0,0,0
"CD40","Epithelial cells",0,0,0,0
"CD40","Fibroblasts",0,0,0,0
"CD40","Mast cells",0,0,0,0
"CD40","Monocytes",0,0,0,0
"CD40","Myeloid (Mac/DC)",0,0,0,0
"CD40","NK cells",0,0,0,0
"CD40","PDC/Plasma cells",0,0,0,0
"CD40","Pericytes",0,0,0,0
